post_id,author,text,date,likes,comments_count,shares,hashtags,media_url,post_datetime,text_length,word_count,has_media,days_since_post
urn:li:activity:7402770791173578752,"Ruchi Honale
Ruchi Honale","I had an incredible time at SWE Local 2025, beginning with the energizing Opening Keynote and moving through insightful sessions like Inner Algorithm, Volunteering with SWE, and Data Driven Machining, along with a wonderful mentoring session where I made meaningful connections. I was deeply inspired by the story of 75 years of SWE and how this incredible community was built over decades of women supporting women. One moment that truly stayed with me was when I asked Inaas Darrat ma’am for one piece of advice as I start my volunteering journey , she reminded me that when you give your time and support to the community, that same community becomes your strength when you need it most; in volunteering, we rise by lifting each other.

The experience wrapped up with the Keynote and an engaging Career Fair, making the entire event truly memorable and motivating. 💛✨

I'm immensely grateful to Society of Women Engineers for the generous grant for attending this event. I'm also grateful to MKSSS Cummins College of Engineering for Women , Dr Anagha Kulkarni ma'am for this opportunity. A huge shoutout to SWE officers - Abha, Isha, Mansi, Kruti and my friend Vedika for facilitating it and making it a great experience. 

hashtag
#SWELocal2025 
hashtag
#WomenInSTEM 
hashtag
#VolunteeringJourney 
hashtag
#CommunityLeadership 
hashtag
#EngineeringJourney
SWE CCEW Society of Women Engineers","2d • 
 
2 days ago • Visible to anyone on or off LinkedIn",103,4,0,"#SWELocal2025, #, #WomenInSTEM, #, #VolunteeringJourney, #, #CommunityLeadership, #, #EngineeringJourney, #",https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-12-28 13:40:31.577037,1395,221,1,2
urn:li:activity:7396871059746041856,"MKSSS'S Cummins College Of Engineering Pune
MKSSS'S Cummins College Of Engineering Pune","ACM-W CCEW Student Chapter is thrilled to announce 
 The Shinigami Stack 
 — a structured, beginner-friendly yet impactful coding experience designed to help you confidently build problem-solving skills.
Whether you're just starting out or already exploring foundational concepts, this session is created to help you understand logic, patterns, and problem-solving in a way that finally makes sense.
This isn’t just another session—

 It’s where concepts finally start connecting
 Where patterns stop looking confusing
 And where coding becomes logical, fun, and far less intimidating
 
 What We’ll Be Covering
 
 Understanding loops using interactive
 Google Doodle-based examples

 
 Pattern printing problems
 
 Beginner-friendly array problems
 
 Easy–medium string problems
 
 Short interactive Q&A + future DSA roadmap
 
 
 Date: 25th November 2025
 
 Time: 5:00 PM – 7:00 PM
 
 Venue: Mechanical Auditorium
 
By the end of the session, you’ll walk out with:
 
 a stronger foundation
 
 better clarity
 
 and confidence to take the next step in your coding journey
 
Seats are limited — make sure you don’t miss out!
 Register here: 
https://lnkd.in/dNqx8vMG

 Please ensure your 
Hackerrank ID is set up before attending.
For any queries, feel free to reach out:

 Shriya Jaripatke – 8830572957
Best regards,
ACM-W CCEW Student Chapter","2w • 
 
2 weeks ago • Visible to anyone on or off LinkedIn",32,1,1,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-12-16 13:40:31.577224,1342,189,1,14
urn:li:activity:7395817191738212352,"Ruchi Honale
Ruchi Honale","Literally no words can express my wonderful experience at the Book Signing Event of Ankur Warikoo at Crossword Bookstores.
The way he simply gave practical answers to all kinds of questions was inspiring and I'm definitely excited to learn a lot more! 
The energy was something that I enjoyed the most, looking forward to more of his content bring EDITED into books, as he said, ""I never wrote any of my books, I have been creating content for years , now I just compile and edit!""","3w • Edited • 
 
3 weeks ago • Edited • Visible to anyone on or off LinkedIn",175,6,0,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-12-09 13:40:31.577234,481,86,1,21
urn:li:activity:7393201957953376256,"Ruchi Honale
Ruchi Honale","🌊The Grey Project : Growth That Flows Forward 💙

Two years ago, I attended The Grey Project as an eager student, full of questions and curiosity. I still remember asking one of my favourite seniors, Ruchika Di, “What did you explore most in your journey?” She smiled and said, “Instead of one particular thing, I’ve touched almost every part of engineering.”

That line stayed with me. Back then, my only goal was simple — to be like her.
And while I may not be quite there yet, standing this year as a mentor, I found myself echoing her words to my juniors — I have touched many parts, if not all of it. It felt quietly profound, as though I was continuing a legacy that once inspired me.

During the session, we spoke about how to get started with DSA, web development, Android development, research, hackathons, and ideathons ; and at one point, almost said “Explore!” in unison with Isha to our mentees from first year! The enthusiasm, openness, and curiosity in the juniors reminded me of how growth begins with a single conversation and the willingness to try.

Moments like these remind me that mentorship isn’t a destination; it’s a flow, much like the koi fish, moving forward through familiar waters with deeper understanding each time.

Grateful to SWE CCEW , Dr Anagha Kulkarni ma'am and Abha Barge for curating The Grey Project, a space where learning continuously flows between those who guide and those who begin.
If any more juniors have questions or need direction feel free to reach out, I’d truly love to help. 🌊✨","4w • Edited • 
 
0 months ago • Edited • Visible to anyone on or off LinkedIn",152,6,0,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-12-02 13:40:31.577241,1532,268,1,28
urn:li:activity:7392536250752249856,"Ruchi Honale
Ruchi Honale","Lately, I’ve been receiving a lot of DMs about the Allianz Tech Championship interview process, so I thought I’d share some tips to help you ace it: 

1. Approach with Confidence and Collaboration
The interview is more of a dialogue than a test. The panel is keen on your ideas and how they can translate into impactful solutions. Stay calm and focused—it’s a two-way street. 

2. Understand Your Work
You should be comfortable talking about your project—the 'why' behind your choices and its potential impact are always good starting points.

3. Embrace the Learning Opportunity
Treat the interview as more than just an evaluation. The panel consists of experts who can provide invaluable insights. You’ll leave the room smarter than when you entered!💡I deleted around 6000 unnecessary pictures from my cloud storage after Rahul Sir introduced me to the harm it causes to the environment. 

4. Authenticity is Key
Be honest and transparent with your responses. Authenticity resonates with interviewers and leaves a lasting impression. 

Bonus Tip: If you blank out during a question, just remember—Ctrl+Z doesn’t work in real life, but a quick pause and a thoughtful answer can save the day! 

Through this initiative, Allianz is doing an amazing job of nurturing young tech talent and helping us grow. I’m genuinely grateful for such platforms.

Good luck to everyone preparing—keep learning and enjoying the process! If you have more questions, feel free to drop a message or comment below. Let’s learn and grow together.","1yr • 
 
1 year ago • Visible to anyone on or off LinkedIn",169,8,1,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2024-12-30 13:40:31.577246,1524,246,1,365
urn:li:activity:7392509059196817408,"Ruchi Honale
Ruchi Honale","✨ A Full-Circle Moment — Code-IT 8th Edition 

Recently, we successfully conducted Code-IT, the 8th edition of ACM’s flagship coding event at Cummins College of Engineering for Women. This year marked a full-circle moment for me — from being excited as a participant in Code-IT 2023 to leading it as the Chair of ACM and ACM-W CCEW.

With 110+ participants and 40+ volunteers, the enthusiasm and precision that went into this edition were remarkable. What stood out most to me was how independence naturally evolved into responsibility ; every officer, team head, and volunteer worked with sincerity and ownership.

Our tech team maintained five times the required test cases just to be extra sure, ensuring the event ran flawlessly. Volunteers arrived early, coordinated tirelessly, and embodied the spirit of teamwork throughout the day. The event concluded with countless candid moments that reflected the joy of shared success.

A huge Congratulations to all our Winners 🏆 🥳 
I remain deeply grateful to MKSSS Cummins College of Engineering for Women and Dr. Sandhya Arora Ma’am, for her constant guidance, support, and openness to new ideas that have shaped our journey.
A special mention to Aaditee Di, our former Chair, whose belief in me and encouragement continue to inspire confidence in every initiative we take forward.
A huge shoutout to our Officers, Members and Volunteers whose efforts made this event a huge success! It was indeed a rollercoaster full of fun experiences🎢 
Code-IT 2025 was not just an event, it was a celebration of collaboration, trust, and the shared belief that when given freedom, people rise with responsibility.
ACM, Association for Computing Machinery 
ACM-W CCEW Chapter Cummins, Pune","1mo • Edited • 
 
1 month ago • Edited • Visible to anyone on or off LinkedIn",118,61,0,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-11-30 13:40:31.577251,1726,275,1,30
urn:li:activity:7378757170076659712,"ACM-W CCEW Chapter Cummins, Pune
ACM-W CCEW Chapter Cummins, Pune","🚀 Hello Innovators!

Get ready for the most awaited coding showdown of the year :
💻 CodeIT: Crack The Code – Honouring Women in Cryptology & Cybersecurity
✨ Now in the 8th Edition | Bigger, Bolder, Better!

📅 When: 11th Oct 2025
⏰ Time: 9:00 AM
🏫 Where: MKSSS's Cummins College of Engineering, Pune
👩‍💻 Mode: In-person Hackerrank Contest
💳 Fee: ₹100 for regular participants | ₹80 for ACM Members
🎓 Eligibility: 1st–3rd Year Engg Students (all branches)
⚡ Seats: Only 150!

🔗 Register Now: https://lnkd.in/dghjCBSA

⚠ Note: Do not forget to complete the registration form after payment. Incomplete registrations will not be considered.

📞 Queries? Contact:
Aarya Kulkarni – ‪+91 8793760242‬

👉 Don’t miss this chance to crack codes & make history!","2mo • 
 
2 months ago • Visible to anyone on or off LinkedIn",29,1,4,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-10-31 13:40:31.577257,747,123,1,60
urn:li:activity:7378484678925836288,"Ruchi Honale
Ruchi Honale","As Chair of ACM-W CCEW Chapter Cummins, Pune, watching a full auditorium and 300+ registrations roll in was a proud moment. It felt like passing on a legacy.Sharing with the next batch that ACM is not just a chapter, but a platform to rise.

I kicked off the speaker sessions with my talk “If ChatGPT can code it, why should I?” , a topic that sparks more questions than it answers, and that’s exactly the point. Coding isn’t just about syntax anymore; it’s about what we choose to build when machines can do the heavy lifting.

From there, Aarya Kulkarni took the stage with her talk on the roadmap to DSA and CP, giving the audience a clear picture of where to start and how to grow. The Mentimeter quiz was chaos in the best way, 10 sharp minds won ACM goodies, and the energy in the room doubled.

And then came my favorite part - launching Code-IT 2025, our flagship intercollege coding competition, now stepping into its 8th edition. Bigger, bolder, and set to push boundaries once again. 🚀

It wasn’t just an event; it was a reminder of why communities like ours exist: to inspire, to challenge, and to keep the fire alive in the next wave of engineers.

A huge shoutout to the our wonderful team who made this event possible! Sincerely grateful to Dr. Sandhya Arora ma'am for her support and guidance ✨","2mo • Edited • 
 
2 months ago • Edited • Visible to anyone on or off LinkedIn",102,40,0,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-10-31 13:40:31.577263,1310,237,1,60
urn:li:activity:7374888272281427968,"Ruchi Honale
Ruchi Honale","This week, we had the privilege of introducing ACM-W CCEW Chapter, Cummins, Pune to our enthusiastic new batch of juniors! Their fresh energy and excitement instantly reminded us of when we were once in their shoes, just starting out with curiosity and big dreams. ✨

It’s going to be truly exciting to see them all again at the events where the real journey begins! 

A huge shoutout to our amazing volunteers- Tanaya Chemate , Aarya Kulkarni and Samruddhi Dargode 💙 for putting their heart into making this session impactful, and a special note of gratitude to Dr. Sandhya Arora Ma’am for her guidance.","2mo • 
 
2 months ago • Visible to anyone on or off LinkedIn",137,4,0,,https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-10-31 13:40:31.577267,604,103,1,60
urn:li:activity:7353254211809173505,"Ruchi Honale
Ruchi Honale","✨Exploring Parallel Worlds: Presenting at ACM HPDC 2025

 Ever since my sophomore year, I’ve been curious about High-Performance Parallel and Distributed Computing (HPDC)—how systems scale, how massive workloads are managed, and how computation drives cutting-edge innovation.

Today, I had the incredible opportunity to present my first-ever research poster at the ACM International Symposium on High-Performance Parallel and Distributed Computing (HPDC)
It’s surreal to go from being a curious student to standing alongside researchers and professionals at an international platform.

Sharing my summer research, getting thoughtful feedback, and engaging in meaningful conversations with experts from academia and industry has been both humbling and inspiring.

This experience has only deepened my passion for this field—and strengthened my resolve to continue exploring it through advanced research.

I am sincerely grateful to University of Notre Dame 's Center for Research Computing for this opportunity. I am thankful to my mentors Dr. Paul Brenner Sir and Dr. Scott Hampton Sir for their guidance and support. A big thank you to iSURE Program and Notre Dame Global for making global undergraduate research opportunities like this possible- your support has meant the world!
Heartfelt thanks to to my home institution MKSSS Cummins College of Engineering for Women and my faculty mentors Dr. Supriya Kelkar ma'am, Dr. Sunita Jahirabadkar ma'am, Dr. Sandhya Arora ma'am, Sakshi Mandke ma'am for their constant encouragement, insights and mentorship.

ACM, Association for Computing Machinery 

hashtag
#HPDC2025 
hashtag
#ACM 
hashtag
#HPC 
hashtag
#DistributedSystems 
hashtag
#WomenInTech 
hashtag
#UndergraduateResearch 
hashtag
#StudentResearch","4mo • Edited • 
 
4 months ago • Edited • Visible to anyone on or off LinkedIn",237,56,0,"#HPDC2025, #, #ACM, #, #HPC, #, #DistributedSystems, #, #WomenInTech, #, #UndergraduateResearch, #, #StudentResearch, #",https://media.licdn.com/dms/image/v2/D4D03AQFX5SIEePZdhg/profile-displayphoto-scale_100_100/B4DZkRolKeG8Ag-/0/1756937477653?e=1766620800&v=beta&t=ENhgYT2cnQ40ip5G798vKwS8dO1jBW_Te1PDmDSpYZw,2025-09-01 13:40:31.577271,1755,245,1,120
